selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
AB006781_s_at,"leukemia_base_0001_3, leukemia_base_0001_5, leukemia_base_0001_8, leukemia_base_0001_15, leukemia_base_0001_22, leukemia_base_0002_7, leukemia_base_0008_16, leukemia_base_0008_21, leukemia_base_0009_6, leukemia_base_0013_0","[1.0, 1.0, 1.0, 1.0, 0.971, 1.0, 0.891, 0.859, 0.984, 0.971]","[733.0, 688.0, 715.0, 720.0, 690.0, 682.0, 75.0, 71.0, 60.0, 34.0]",10
AB006782_at,"leukemia_base_0001_1, leukemia_base_0001_9, leukemia_base_0001_18, leukemia_base_0002_0, leukemia_base_0002_27","[1.0, 0.968, 1.0, 1.0, 1.0]","[700.0, 650.0, 690.0, 685.0, 713.0]",5
AC000061_cds2_at,"leukemia_base_0001_2, leukemia_base_0001_13, leukemia_base_0001_14, leukemia_base_0001_22, leukemia_base_0001_24, leukemia_base_0002_1, leukemia_base_0002_19, leukemia_base_0008_15","[1.0, 1.0, 1.0, 0.971, 1.0, 0.984, 1.0, 0.891]","[674.0, 682.0, 700.0, 690.0, 663.0, 681.0, 683.0, 70.0]",8
AC000061_cds3_at,"leukemia_base_0001_20, leukemia_base_0002_11, leukemia_base_0002_12, leukemia_base_0002_15, leukemia_base_0007_7","[0.971, 1.0, 1.0, 1.0, 1.0]","[632.0, 707.0, 693.0, 654.0, 66.0]",5
AC000062_at,"leukemia_base_0001_7, leukemia_base_0001_14, leukemia_base_0002_6, leukemia_base_0002_10, leukemia_base_0002_18, leukemia_base_0003_1","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[692.0, 700.0, 671.0, 657.0, 730.0, 660.0]",6
AC000063_s_at,"leukemia_base_0001_14, leukemia_base_0001_22, leukemia_base_0002_2, leukemia_base_0002_29, leukemia_base_0009_13","[1.0, 0.971, 1.0, 1.0, 1.0]","[700.0, 690.0, 683.0, 707.0, 58.0]",5
AC000064_cds1_at,"leukemia_base_0001_4, leukemia_base_0001_8, leukemia_base_0001_17, leukemia_base_0001_21, leukemia_base_0001_26, leukemia_base_0002_6, leukemia_base_0002_8, leukemia_base_0002_13, leukemia_base_0002_18, leukemia_base_0002_19, leukemia_base_0008_24, leukemia_base_0012_10","[0.971, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.971]","[654.0, 715.0, 722.0, 704.0, 644.0, 671.0, 694.0, 696.0, 730.0, 683.0, 63.0, 70.0]",12
AC000064_cds2_at,"leukemia_base_0002_6, leukemia_base_0002_19","[1.0, 1.0]","[671.0, 683.0]",2
AC000066_at,"leukemia_base_0001_12, leukemia_base_0001_15, leukemia_base_0002_8, leukemia_base_0002_14, leukemia_base_0002_21, leukemia_base_0002_24, leukemia_base_0008_24, leukemia_base_0011_27","[0.971, 1.0, 1.0, 1.0, 0.969, 1.0, 0.875, 1.0]","[694.0, 720.0, 694.0, 700.0, 679.0, 683.0, 63.0, 26.0]",8
AC000099_at,"leukemia_base_0001_1, leukemia_base_0001_2, leukemia_base_0001_7, leukemia_base_0001_15, leukemia_base_0001_27, leukemia_base_0002_4, leukemia_base_0002_5, leukemia_base_0002_16","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[700.0, 674.0, 692.0, 720.0, 734.0, 669.0, 637.0, 650.0]",8
