selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
att_18,"mandelon_base_0017_1, mandelon_base_0017_5, mandelon_base_0023_0, mandelon_base_0023_12, mandelon_base_0023_19, mandelon_base_0023_22","[0.71, 0.76, 0.697, 0.812, 0.745, 0.707]","[36.0, 36.0, 36.0, 31.0, 41.0, 41.0]",6
att_180,"mandelon_base_0017_15, mandelon_base_0023_11, mandelon_base_0023_26, mandelon_base_0023_29","[0.76, 0.758, 0.723, 0.785]","[39.0, 44.0, 44.0, 28.0]",4
att_181,"mandelon_base_0017_7, mandelon_base_0017_17, mandelon_base_0023_1, mandelon_base_0023_17","[0.697, 0.728, 0.768, 0.785]","[41.0, 38.0, 41.0, 36.0]",4
att_182,mandelon_base_0017_16,[0.747],[35.0],1
att_183,mandelon_base_0017_15,[0.76],[39.0],1
att_184,"mandelon_base_0017_8, mandelon_base_0017_15, mandelon_base_0023_22, mandelon_base_0023_25","[0.78, 0.76, 0.707, 0.76]","[24.0, 39.0, 41.0, 36.0]",4
att_185,"mandelon_base_0017_7, mandelon_base_0017_9, mandelon_base_0017_16, mandelon_base_0023_8, mandelon_base_0023_22","[0.697, 0.71, 0.747, 0.763, 0.707]","[41.0, 38.0, 35.0, 36.0, 41.0]",5
att_186,"mandelon_base_0017_4, mandelon_base_0017_7, mandelon_base_0017_17, mandelon_base_0017_18","[0.762, 0.697, 0.728, 0.682]","[29.0, 41.0, 38.0, 35.0]",4
att_187,"mandelon_base_0017_5, mandelon_base_0023_1, mandelon_base_0023_19, mandelon_base_0023_24","[0.76, 0.768, 0.745, 0.765]","[36.0, 41.0, 41.0, 41.0]",4
att_188,"mandelon_base_0017_5, mandelon_base_0017_16, mandelon_base_0023_14","[0.76, 0.747, 0.788]","[36.0, 35.0, 36.0]",3
att_189,"mandelon_base_0017_1, mandelon_base_0023_24","[0.71, 0.765]","[36.0, 41.0]",2
att_19,"mandelon_base_0017_15, mandelon_base_0023_6","[0.76, 0.803]","[39.0, 24.0]",2
att_190,"mandelon_base_0017_9, mandelon_base_0023_13","[0.71, 0.76]","[38.0, 39.0]",2
att_191,"mandelon_base_0017_15, mandelon_base_0017_17, mandelon_base_0023_9, mandelon_base_0023_21","[0.76, 0.728, 0.775, 0.818]","[39.0, 38.0, 36.0, 31.0]",4
att_192,"mandelon_base_0023_17, mandelon_base_0023_22","[0.785, 0.707]","[36.0, 41.0]",2
att_193,"mandelon_base_0017_8, mandelon_base_0017_11","[0.78, 0.695]","[24.0, 41.0]",2
att_194,"mandelon_base_0017_12, mandelon_base_0023_2","[0.715, 0.723]","[45.0, 41.0]",2
att_195,mandelon_base_0023_16,[0.697],[45.0],1
att_197,"mandelon_base_0017_12, mandelon_base_0023_3, mandelon_base_0023_15, mandelon_base_0023_26","[0.715, 0.768, 0.755, 0.723]","[45.0, 35.0, 36.0, 44.0]",4
