selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
U30827_s_at,"leukemia_base_0002_4, leukemia_base_0002_10, leukemia_base_0002_20, leukemia_base_0002_26, leukemia_base_0002_28, leukemia_base_0011_13","[1.0, 1.0, 1.0, 1.0, 1.0, 0.969]","[669.0, 657.0, 647.0, 711.0, 688.0, 42.0]",6
U30828_at,"leukemia_base_0002_14, leukemia_base_0002_18, leukemia_base_0002_24","[1.0, 1.0, 1.0]","[700.0, 730.0, 683.0]",3
U30872_at,leukemia_base_0002_18,[1.0],[730.0],1
U30888_at,"leukemia_base_0002_0, leukemia_base_0009_22","[1.0, 0.984]","[685.0, 64.0]",2
U30894_at,"leukemia_base_0002_9, leukemia_base_0002_16, leukemia_base_0002_17, leukemia_base_0002_22","[0.999, 1.0, 1.0, 1.0]","[636.0, 650.0, 689.0, 676.0]",4
U30930_at,"leukemia_base_0002_9, leukemia_base_0002_27","[0.999, 1.0]","[636.0, 713.0]",2
U30998_at,leukemia_base_0002_29,[1.0],[707.0],1
U30999_at,"leukemia_base_0002_0, leukemia_base_0002_2, leukemia_base_0002_11, leukemia_base_0002_22","[1.0, 1.0, 1.0, 1.0]","[685.0, 683.0, 707.0, 676.0]",4
U31099_at,"leukemia_base_0002_0, leukemia_base_0002_4, leukemia_base_0002_11, leukemia_base_0002_13, leukemia_base_0002_25","[1.0, 1.0, 1.0, 1.0, 1.0]","[685.0, 669.0, 707.0, 696.0, 716.0]",5
U31116_at,"leukemia_base_0002_5, leukemia_base_0002_7","[1.0, 1.0]","[637.0, 682.0]",2
U31120_rna1_at,"leukemia_base_0002_3, leukemia_base_0002_10, leukemia_base_0002_11","[1.0, 1.0, 1.0]","[660.0, 657.0, 707.0]",3
U31176_at,leukemia_base_0009_6,[0.984],[60.0],1
U31201_cds1_at,"leukemia_base_0002_4, leukemia_base_0002_11","[1.0, 1.0]","[669.0, 707.0]",2
U31201_cds2_s_at,"leukemia_base_0002_8, leukemia_base_0002_9, leukemia_base_0002_13, leukemia_base_0002_19, leukemia_base_0002_22","[1.0, 0.999, 1.0, 1.0, 1.0]","[694.0, 636.0, 696.0, 683.0, 676.0]",5
U31215_s_at,"leukemia_base_0002_12, leukemia_base_0002_14","[1.0, 1.0]","[693.0, 700.0]",2
U31216_s_at,leukemia_base_0002_23,[1.0],[726.0],1
U31248_at,"leukemia_base_0002_3, leukemia_base_0002_5, leukemia_base_0002_24","[1.0, 1.0, 1.0]","[660.0, 637.0, 683.0]",3
U31342_at,leukemia_base_0002_21,[0.969],[679.0],1
U31382_at,"leukemia_base_0002_7, leukemia_base_0002_10, leukemia_base_0002_13, leukemia_base_0002_14, leukemia_base_0002_19, leukemia_base_0002_21, leukemia_base_0002_28","[1.0, 1.0, 1.0, 1.0, 1.0, 0.969, 1.0]","[682.0, 657.0, 696.0, 700.0, 683.0, 679.0, 688.0]",7
U31383_at,"leukemia_base_0002_21, leukemia_base_0002_25, leukemia_base_0002_28","[0.969, 1.0, 1.0]","[679.0, 716.0, 688.0]",3
U31384_at,"leukemia_base_0002_11, leukemia_base_0002_27, leukemia_base_0009_15","[1.0, 1.0, 0.984]","[707.0, 713.0, 82.0]",3
U31449_at,"leukemia_base_0002_0, leukemia_base_0002_8, leukemia_base_0002_16, leukemia_base_0002_19","[1.0, 1.0, 1.0, 1.0]","[685.0, 694.0, 650.0, 683.0]",4
U31556_at,"leukemia_base_0002_6, leukemia_base_0009_18","[1.0, 0.984]","[671.0, 70.0]",2
U31628_at,"leukemia_base_0002_3, leukemia_base_0002_7, leukemia_base_0002_12, leukemia_base_0011_21","[1.0, 1.0, 1.0, 0.993]","[660.0, 682.0, 693.0, 23.0]",4
U31799_at,"leukemia_base_0002_2, leukemia_base_0002_27","[1.0, 1.0]","[683.0, 713.0]",2
U31814_at,"leukemia_base_0002_18, leukemia_base_0002_21, leukemia_base_0002_22, leukemia_base_0002_24, leukemia_base_0009_26","[1.0, 0.969, 1.0, 1.0, 1.0]","[730.0, 679.0, 676.0, 683.0, 57.0]",5
U31875_at,"leukemia_base_0002_11, leukemia_base_0002_29, leukemia_base_0009_28","[1.0, 1.0, 0.984]","[707.0, 707.0, 65.0]",3
U31903_s_at,"leukemia_base_0002_15, leukemia_base_0002_28, leukemia_base_0009_5","[1.0, 1.0, 0.98]","[654.0, 688.0, 68.01]",3
U31929_s_at,"leukemia_base_0002_5, leukemia_base_0002_6, leukemia_base_0002_7, leukemia_base_0002_21, leukemia_base_0002_28, leukemia_base_0009_11","[1.0, 1.0, 1.0, 0.969, 1.0, 0.969]","[637.0, 671.0, 682.0, 679.0, 688.0, 60.0]",6
U31930_at,leukemia_base_0002_0,[1.0],[685.0],1
U31973_s_at,"leukemia_base_0002_3, leukemia_base_0002_10, leukemia_base_0002_19","[1.0, 1.0, 1.0]","[660.0, 657.0, 683.0]",3
U31986_at,"leukemia_base_0002_10, leukemia_base_0002_13","[1.0, 1.0]","[657.0, 696.0]",2
U32114_at,"leukemia_base_0002_0, leukemia_base_0002_4, leukemia_base_0002_24, leukemia_base_0002_25, leukemia_base_0009_9","[1.0, 1.0, 1.0, 1.0, 0.984]","[685.0, 669.0, 683.0, 716.0, 53.0]",5
U32315_at,"leukemia_base_0002_8, leukemia_base_0002_11, leukemia_base_0002_12, leukemia_base_0002_17, leukemia_base_0002_21, leukemia_base_0002_22, leukemia_base_0002_28, leukemia_base_0009_28","[1.0, 1.0, 1.0, 1.0, 0.969, 1.0, 1.0, 0.984]","[694.0, 707.0, 693.0, 689.0, 679.0, 676.0, 688.0, 65.0]",8
U32324_at,"leukemia_base_0002_24, leukemia_base_0009_8","[1.0, 0.984]","[683.0, 52.0]",2
U32331_at,"leukemia_base_0002_5, leukemia_base_0002_9, leukemia_base_0002_11, leukemia_base_0002_25","[1.0, 0.999, 1.0, 1.0]","[637.0, 636.0, 707.0, 716.0]",4
U32376_at,"leukemia_base_0002_3, leukemia_base_0002_20","[1.0, 1.0]","[660.0, 647.0]",2
U32439_at,"leukemia_base_0002_1, leukemia_base_0002_8, leukemia_base_0002_15, leukemia_base_0002_22, leukemia_base_0002_27","[0.984, 1.0, 1.0, 1.0, 1.0]","[681.0, 694.0, 654.0, 676.0, 713.0]",5
U32499_s_at,"leukemia_base_0002_2, leukemia_base_0002_5, leukemia_base_0002_12, leukemia_base_0002_13, leukemia_base_0002_16, leukemia_base_0002_18, leukemia_base_0002_26, leukemia_base_0009_23","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.969]","[683.0, 637.0, 693.0, 696.0, 650.0, 730.0, 711.0, 57.0]",8
U32519_at,"leukemia_base_0002_1, leukemia_base_0002_21, leukemia_base_0002_26","[0.984, 0.969, 1.0]","[681.0, 679.0, 711.0]",3
U32576_rna1_at,"leukemia_base_0002_9, leukemia_base_0002_13","[0.999, 1.0]","[636.0, 696.0]",2
U32581_at,"leukemia_base_0002_1, leukemia_base_0002_3, leukemia_base_0002_7, leukemia_base_0002_27","[0.984, 1.0, 1.0, 1.0]","[681.0, 660.0, 682.0, 713.0]",4
U32645_at,"leukemia_base_0002_5, leukemia_base_0002_7, leukemia_base_0002_17, leukemia_base_0002_18, leukemia_base_0002_28","[1.0, 1.0, 1.0, 1.0, 1.0]","[637.0, 682.0, 689.0, 730.0, 688.0]",5
U32659_at,"leukemia_base_0002_3, leukemia_base_0002_25","[1.0, 1.0]","[660.0, 716.0]",2
U32674_s_at,leukemia_base_0002_15,[1.0],[654.0],1
U32680_at,"leukemia_base_0002_9, leukemia_base_0002_17, leukemia_base_0002_26","[0.999, 1.0, 1.0]","[636.0, 689.0, 711.0]",3
U32849_at,"leukemia_base_0002_5, leukemia_base_0002_17","[1.0, 1.0]","[637.0, 689.0]",2
U32907_at,"leukemia_base_0002_14, leukemia_base_0002_18","[1.0, 1.0]","[700.0, 730.0]",2
U32944_at,"leukemia_base_0002_26, leukemia_base_0009_24, leukemia_base_0011_9","[1.0, 0.984, 0.969]","[711.0, 50.0, 29.0]",3
U32986_s_at,leukemia_base_0002_26,[1.0],[711.0],1
U32989_at,"leukemia_base_0002_14, leukemia_base_0002_17, leukemia_base_0002_23","[1.0, 1.0, 1.0]","[700.0, 689.0, 726.0]",3
U33017_at,"leukemia_base_0002_5, leukemia_base_0002_10, leukemia_base_0002_23","[1.0, 1.0, 1.0]","[637.0, 657.0, 726.0]",3
U33052_s_at,"leukemia_base_0002_7, leukemia_base_0002_23","[1.0, 1.0]","[682.0, 726.0]",2
U33053_at,"leukemia_base_0002_0, leukemia_base_0002_5, leukemia_base_0002_11, leukemia_base_0002_13, leukemia_base_0002_26","[1.0, 1.0, 1.0, 1.0, 1.0]","[685.0, 637.0, 707.0, 696.0, 711.0]",5
U33054_at,"leukemia_base_0002_1, leukemia_base_0002_7, leukemia_base_0002_11, leukemia_base_0002_18, leukemia_base_0002_27","[0.984, 1.0, 1.0, 1.0, 1.0]","[681.0, 682.0, 707.0, 730.0, 713.0]",5
U33147_at,"leukemia_base_0002_0, leukemia_base_0002_10","[1.0, 1.0]","[685.0, 657.0]",2
U33202_s_at,"leukemia_base_0002_18, leukemia_base_0002_20","[1.0, 1.0]","[730.0, 647.0]",2
U33203_s_at,"leukemia_base_0002_8, leukemia_base_0002_26","[1.0, 1.0]","[694.0, 711.0]",2
U33267_at,"leukemia_base_0002_8, leukemia_base_0002_10, leukemia_base_0002_22, leukemia_base_0009_6, leukemia_base_0009_29, leukemia_base_0011_18","[1.0, 1.0, 1.0, 0.984, 1.0, 0.984]","[694.0, 657.0, 676.0, 60.0, 76.0, 23.0]",6
U33286_at,"leukemia_base_0002_4, leukemia_base_0002_5, leukemia_base_0002_6","[1.0, 1.0, 1.0]","[669.0, 637.0, 671.0]",3
U33317_rna1_at,"leukemia_base_0002_0, leukemia_base_0002_3, leukemia_base_0002_21, leukemia_base_0002_25","[1.0, 1.0, 0.969, 1.0]","[685.0, 660.0, 679.0, 716.0]",4
U33429_at,"leukemia_base_0002_0, leukemia_base_0002_25","[1.0, 1.0]","[685.0, 716.0]",2
U33447_at,"leukemia_base_0002_2, leukemia_base_0002_6, leukemia_base_0002_25","[1.0, 1.0, 1.0]","[683.0, 671.0, 716.0]",3
U33448_s_at,"leukemia_base_0002_4, leukemia_base_0002_15, leukemia_base_0002_18, leukemia_base_0002_19, leukemia_base_0002_21, leukemia_base_0002_22, leukemia_base_0002_23","[1.0, 1.0, 1.0, 1.0, 0.969, 1.0, 1.0]","[669.0, 654.0, 730.0, 683.0, 679.0, 676.0, 726.0]",7
U33632_at,leukemia_base_0002_28,[1.0],[688.0],1
U33761_at,"leukemia_base_0002_23, leukemia_base_0002_26, leukemia_base_0009_2","[1.0, 1.0, 1.0]","[726.0, 711.0, 49.0]",3
U33818_at,"leukemia_base_0002_2, leukemia_base_0002_17, leukemia_base_0002_29, leukemia_base_0009_2","[1.0, 1.0, 1.0, 1.0]","[683.0, 689.0, 707.0, 49.0]",4
